Id,Name,Type,Category,PP,Power,Accuracy,Description,Effect,CritRate,EffectRate,Priority,Target
0,Absorb,Grass,Special,20,20,100,A GRASS-type attack. It adds half the HP it drained from the target to the attacker's HP.,N/A,N/A,N/A,0,Selected target
1,Acid,Poison,Physical,30,40,100,A POISON-type attack. Has a one-in-three chance of lowering the target's DEFENSE.,N/A,N/A,33,0,All opponent Pokémon in range
2,Acid Armor,Poison,Status,40,N/A,100,Melts the user's body for protection. A move that sharply raises DEFENSE.,N/A,N/A,N/A,0,User
3,Agility,Psychic,Status,30,N/A,100,A special technique that greatly boosts the user's SPEED. Can normally be used up to three times.,N/A,N/A,N/A,0,User
4,Amnesia,Psychic,Status,20,N/A,100,Sharply raises the user's SPECIAL stat. Also increases protection against special attacks.,N/A,N/A,N/A,0,User
5,Aurora Beam,Ice,Special,20,65,100,An ICE-type attack. Has a one-in-three chance of reducing the target's ATTACK power.,N/A,N/A,33,0,Selected target
6,Barrage,Normal,Physical,20,15,85,Several spheres are thrown consecutively at the target to inflict damage.,N/A,N/A,N/A,0,Selected target
7,Barrier,Psychic,Status,30,N/A,100,Instantly forms a barrier between the user and the opponent. DEFENSE is sharply increased.,N/A,N/A,N/A,0,User
8,Bide,Normal,Status,10,N/A,100,"The user waits for several turns. At the end, it returns double the damage it received.",N/A,N/A,N/A,1,User
9,Bind,Normal,Physical,20,15,75,Traps and squeezes the target over several turns. The target cannot move while under attack.,N/A,N/A,N/A,0,Selected target
10,Bite,Normal,Physical,25,60,100,"A bite made using sharp fangs. This may cause the opponent to flinch, and it might not attack.",N/A,N/A,10,0,Selected target
11,Blizzard,Ice,Special,5,120,90,The strongest ICE-type attack. Has a one-in-ten chance of freezing the target solid.,N/A,N/A,10,0,All opponent Pokémon in range
12,Body Slam,Normal,Physical,15,85,100,A NORMAL-type attack. Has a one-in-three chance of paralyzing the target if it connects.,N/A,N/A,33,0,Selected target
13,Bone Club,Ground,Physical,20,65,85,"A physical attack using a bone as a club. If it connects, it may cause the target to flinch.",N/A,N/A,10,0,Selected target
14,Bonemerang,Ground,Physical,10,50,90,A boomerang made of bone is thrown to inflict damage twice -- on the way out and on its return.,N/A,N/A,N/A,0,Selected target
15,Bubble,Water,Special,30,20,100,A WATER-type attack. Has a one-in-three chance of reducing the target's SPEED.,N/A,N/A,30,0,All opponent Pokémon in range
16,Bubble Beam,Water,Special,20,65,100,A WATER-type attack. Has a one-in-three chance of reducing the target's SPEED.,N/A,N/A,33,0,Selected target
17,Clamp,Water,Special,10,35,75,The target is gripped in the attacker's shell for two to five turns. It can't move while under attack.,N/A,N/A,N/A,0,Selected target
18,Comet Punch,Normal,Physical,15,18,85,"Although each slap is weak, this attack hits the target two to five times in succession.",N/A,N/A,N/A,0,Selected target
19,Confuse Ray,Ghost,Status,10,N/A,100,A sinister flash of light makes the target confused. A special GHOST-type technique.,N/A,N/A,N/A,0,Selected target
20,Confusion,Psychic,Special,25,50,100,A PSYCHIC-type attack. Has a one-in-ten chance of leaving the target confused.,N/A,N/A,10,0,Selected target
21,Constrict,Normal,Physical,35,10,100,A NORMAL-type attack. Has a one-in-three chance of reducing the target's SPEED.,N/A,N/A,10,0,Selected target
22,Conversion,Normal,Status,30,N/A,100,A special move that switches the user's elemental type to that of the target.,N/A,N/A,N/A,0,User
23,Counter,Fighting,Physical,20,N/A,100,A retaliation move that pays back double the damage of a physical attack. Highly accurate.,N/A,N/A,N/A,-5,Special
24,Crabhammer,Water,Special,10,90,85,A move that is used only by Pokémon with pincers. Likely to get a critical hit.,N/A,N/A,N/A,0,Selected target
25,Cut,Normal,Physical,30,50,95,A NORMAL-type attack. Also used for cutting small bushes to open new paths.,N/A,N/A,N/A,0,Selected target
26,Defense Curl,Normal,Status,40,N/A,100,Raises the user's DEFENSE. Can normally be used up to six times in a row.,N/A,N/A,N/A,0,User
27,Dig,Ground,Physical,10,100,100,"The attacker digs underground in the first turn, then pops up in the next turn to attack.",N/A,N/A,N/A,0,Selected target
28,Disable,Normal,Status,20,N/A,55,A technique that disables one of the target's moves. The disabled move can't be used until it wears off.,N/A,N/A,N/A,0,Selected target
29,Dizzy Punch,Normal,Physical,10,70,100,A NORMAL-type attack. The punch is relatively strong and highly accurate.,N/A,N/A,20,0,Selected target
30,Double-Edge,Normal,Physical,15,100,100,A charging tackle attack. One quarter of the damage it inflicts comes back to hurt the attacker.,N/A,N/A,N/A,0,Selected target
31,Double Kick,Fighting,Physical,30,30,100,"A FIGHTING-type attack. As the name implies, it is actually two quick kicks in succession.",N/A,N/A,N/A,0,Selected target
32,Double Slap,Normal,Physical,10,15,85,"Although each slap is weak, this attack hits the target two to five times in succession.",N/A,N/A,N/A,0,Selected target
